,value,type,band
254,1331,Unmarked,B3
255,1027,Unmarked,B3
256,1267,Unmarked,B3
257,1612,Unmarked,B3
258,883,Unmarked,B3
259,1265,Unmarked,B3
260,1297,Unmarked,B3
261,1357,Unmarked,B3
262,1261,Unmarked,B3
263,1205,Unmarked,B3
264,1456,Unmarked,B3
265,1121,Unmarked,B3
266,1229,Unmarked,B3
267,1405,Unmarked,B3
268,1159,Unmarked,B3
269,1187,Unmarked,B3
270,1375,Unmarked,B3
271,1346,Unmarked,B3
272,1229,Unmarked,B3
273,1308,Unmarked,B3
274,1157,Unmarked,B3
275,1224,Unmarked,B3
276,1196,Unmarked,B3
277,1379,Unmarked,B3
278,725,Vegetation,B3
279,732,Vegetation,B3
280,644,Vegetation,B3
281,571,Vegetation,B3
282,552,Vegetation,B3
283,723,Vegetation,B3
284,620,Vegetation,B3
285,520,Vegetation,B3
286,692,Vegetation,B3
287,791,Vegetation,B3
288,709,Vegetation,B3
289,824,Vegetation,B3
290,724,Vegetation,B3
291,625,Vegetation,B3
292,671,Vegetation,B3
293,658,Vegetation,B3
294,674,Vegetation,B3
295,769,Vegetation,B3
296,754,Vegetation,B3
297,667,Vegetation,B3
298,695,Vegetation,B3
299,753,Vegetation,B3
300,886,Vegetation,B3
301,784,Vegetation,B3
302,775,Vegetation,B3
303,732,Vegetation,B3
304,595,Vegetation,B3
305,569,Vegetation,B3
306,732,Vegetation,B3
307,664,Vegetation,B3
308,696,Vegetation,B3
309,590,Vegetation,B3
310,668,Vegetation,B3
311,704,Vegetation,B3
312,770,Vegetation,B3
313,599,Vegetation,B3
314,706,Vegetation,B3
315,738,Vegetation,B3
316,753,Vegetation,B3
317,691,Vegetation,B3
318,700,Vegetation,B3
319,4765,Barren,B4
320,3189,Barren,B4
321,2993,Barren,B4
322,3086,Barren,B4
323,3089,Barren,B4
324,2853,Barren,B4
325,3078,Barren,B4
326,3476,Barren,B4
327,2855,Barren,B4
328,3323,Barren,B4
329,3240,Barren,B4
330,3084,Barren,B4
331,3047,Barren,B4
332,3275,Barren,B4
333,3453,Barren,B4
334,3086,Barren,B4
335,3237,Barren,B4
336,3351,Barren,B4
337,3324,Barren,B4
338,3396,Barren,B4
339,3521,Barren,B4
340,3297,Barren,B4
